2024-03-29 18:47:16.847 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-03-29 18:47:17.039 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-29 18:47:17.834 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-29 18:47:17.837 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-29 18:47:18.034 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-29 18:47:18.424 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-29 18:47:18.664 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-03-29 18:47:18.677 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-29 18:47:18.685 [main] INFO  c.p.tripevolve.TripEvolveApplication - Started TripEvolveApplication in 3.467 seconds (process running for 4.088)
2024-03-29 18:47:39.333 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-29 18:47:39.334 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-29 18:47:39.335 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-29 18:47:39.414 [http-nio-8080-exec-2] INFO  c.p.t.s.impl.ItineraryServiceImpl - Generating schedule...
2024-03-29 18:47:44.780 [Thread-1] ERROR c.p.t.s.impl.ItineraryServiceImpl - Error in buffered reader 
2024-03-29 18:47:44.781 [http-nio-8080-exec-2] INFO  c.p.t.s.impl.ItineraryServiceImpl - Exited with error code 0
2024-03-29 18:47:44.781 [http-nio-8080-exec-2] INFO  c.p.t.s.impl.ItineraryServiceImpl - Action completed successfully.Ziua 1:
Mausoleo di Augusto intre 09:00 si 10:00. Mergi 97 minute pana la:  
Villa Lazzaroni intre 11:37 si 13:07. Mergi 91 minute pana la:  
Villa Medici intre 14:38 si 16:08. Mergi 17 minute pana la:  
Chiesa di Sant'Andrea al Quirinale intre 16:25 si 17:25. Mergi 17 minute pana la:  
Basilica di Santa Prassede intre 17:43 si 18:43. Mergi 139 minute pana la:  
Parco Naturale Regionale Appia Antica intre 21:02 si 22:32


Execution time: 5.069772481918335

2024-03-29 18:54:10.970 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-29 18:54:10.972 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-29 18:54:10.976 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
